Institution, Address, PLZ, Ort, Land
Uni Bremen, Am Fallturm 1, 28359, Bremen, DE
Ruhr-Universität Bochum, Universitätsstraße 150, 44780, Bochum, DE
TU Dortmund, Leonhard-Euler-Straße 5, 44227, Dortmund, DE
